e, e_dot, e_int, stamp, 
0.978007853138052, -0.005303994155241669, 0.19581373039382008, 1732835612613057064, 
0.9782430071821081, -0.004520147341721496, 0.19572332744698565, 1732835612710207659, 
0.9784067460061694, 0.001329642893724466, 0.1956438404217553, 1732835612803192836, 
0.9784678651138823, 0.0007495264392472686, 0.19567450788681065, 1732835612904190235, 
0.978569890638163, 0.0005438154399787601, 0.19569630011721434, 1732835613013383157, 
0.9209258824822072, -0.1918066087722503, 0.19186424254895015, 1732835613110201654, 
0.9145519465555993, -0.21339314694187891, 0.18760318131173132, 1732835613203169394, 
0.904237033880683, -0.05562949533841399, 0.1826476575278993, 1732835613304311484, 
0.8827604921387652, -0.10597151472278059, 0.18010329817166984, 1732835613413458993, 
0.8705930633732629, -0.11214656835806691, 0.17717270595951407, 1732835613510215684, 
0.843453327385359, -0.13102388251135375, 0.1731204588598258, 1732835613603175271, 
0.817103842780901, -0.1782974019745398, 0.16874334890263487, 1732835613704195520, 
0.7960721555134818, -0.1579372395729243, 0.16377528837864946, 1732835613813341840, 
0.7743134972606758, -0.14263448506741735, 0.15916596637033725, 1732835613910220747, 
0.7500569589091076, -0.15338398868124714, 0.15469617411221767, 1732835614003190202, 
0.7195709508438008, -0.18247515472291642, 0.1495960938009056, 1732835614105290556, 
0.6818000677294211, -0.2275229705989549, 0.14342853183215531, 1732835614194200396, 
0.6404025838702706, -0.26389455657843414, 0.1361182401628995, 1732835614311246923, 
0.487579369121092, -0.6474023286944305, 0.12065213471471893, 1732835614403219891, 
0.45520863112475796, -0.6173131758183755, 0.1055460389410747, 1732835614501207660, 
0.423844959689167, -0.21244803143974997, 0.0911088639956678, 1732835614594290799, 
0.3956064486913309, -0.19867394144475692, 0.08497733596701705, 1732835614711232658, 
0.365704459141005, -0.19380166849387334, 0.0790103911681002, 1732835614803223459, 
0.33582697717309307, -0.19926490506079272, 0.0731425256670286, 1732835614901207808, 
0.29943989582948116, -0.22088187770507953, 0.06673142214290527, 1732835615013123524, 
0.2592650405096195, -0.25520645554491184, 0.05963546090081292, 1732835615111239738, 
