e, e_dot, e_int, stamp, 
2.982613034352858, 8.816590430191236e-06, 0.7458454849630786, 1729802868, 8958928, 
2.9694182604556723, -0.07991154218328893, 0.7612539459790861, 1729802868, 63989195, 
2.9417047280961404, -0.26138002452448217, 0.3140672009080049, 1729802868, 114898839, 
2.910323885936984, -0.45419028959189767, 0.2624761972737738, 1729802868, 153252170, 
2.8376589186926346, -0.6145783000628988, 0.3163314773256938, 1729802868, 224108109, 
2.800157679900036, -0.7593519299690676, 0.28720742492628415, 1729802868, 254048627, 
2.7267755947831263, -0.9142116720987405, 0.22078785533080625, 1729802868, 303294703, 
2.622613350443643, -1.068847350256689, 0.2986304000860703, 1729802868, 363980043, 
2.5275148989944025, -1.2069811006571671, 0.2904439989377752, 1729802868, 413913293, 
2.4330798292410347, -1.2646235946904711, 0.25256087088640483, 1729802868, 463895884, 
2.3374971112655745, -1.253891899489456, 0.2457829597066496, 1729802868, 514946398, 
2.1721014447060294, -1.2460844109276252, 0.32327423630565394, 1729802868, 603585879, 
1.9717512424376755, -1.2217036766687583, 0.43208184814572176, 1729802868, 714942631, 
1.8022076282259036, -1.1945774788182202, 0.4090149906172063, 1729802868, 809948564, 
1.6194981497913816, -1.180856678410417, 0.3576500913480281, 1729802868, 913878169, 
1.4218102846256726, -1.1844711306820088, 0.34556467360759385, 1729802869, 23986054, 
1.2769740918333181, -1.2012324628697748, 0.2737838507596324, 1729802869, 104081461, 
1.0943549344641674, -1.1571881659432524, 0.24009402792607965, 1729802869, 213876808, 
0.9244850625417771, -1.1204220680174213, 0.23052751815556413, 1729802869, 313918101, 
0.7744214051157433, -1.1250774263038017, 0.17645234136893362, 1729802869, 403388976, 
0.5971940100641501, -1.0944924513054912, 0.1529260335981912, 1729802869, 513725603, 
0.4717769972816983, -0.9528165443093307, 0.12934064609221174, 1729802869, 613882377, 
0.36117999168049875, -0.7822914232877931, 0.0959103618463888, 1729802869, 714914908, 
0.2585296145617937, -0.6799626875977319, 0.07627013538511147, 1729802869, 823514273, 
0.19370392071052, -0.5860972107945223, 0.05106306935874477, 1729802869, 903243726, 
0.11716679163449684, -0.5015535657222562, 0.03613752964064955, 1729802870, 13912107, 
0.06874865522580265, -0.39873987694363233, 0.02614517279555131, 1729802870, 109859945, 
0.03377579181905632, -0.2859303619116469, 0.014278162292608412, 1729802870, 208887961, 
0.004949581785268942, -0.20492896779217004, 0.007494850753544367, 1729802870, 319069114, 
-0.013320906729649806, -0.15553865910761316, 0.0016877853031058321, 1729802870, 408197631, 
-0.024313965058767706, -0.10434454571055052, -0.0020796052916782913, 1729802870, 509944455, 
-0.029533419948255757, -0.05359305108456186, -0.004494013222624193, 1729802870, 608917931, 
-0.02812207107352993, -0.013146747155121334, -0.0056046511493869165, 1729802870, 715069074, 
-0.02804003325294291, 0.004720272562888588, -0.005740875028010753, 1729802870, 809892547, 
-0.028224369877067446, -0.00032898865866312963, -0.00546684614463425, 1729802870, 909419396, 
-0.025024692407527804, 0.010104520857856243, -0.005392222761573868, 1729802871, 8894248, 
-0.021628703507190372, 0.021390803823973726, -0.005131054460184328, 1729802871, 114996622, 
-0.017904892607003564, 0.023209675386098805, -0.004413229931713429, 1729802871, 213975425, 
-0.013305343174441209, 0.027736225281126972, -0.003520416804267494, 1729802871, 314872898, 
-0.009086796577431389, 0.03019727774245824, -0.002614358238215301, 1729802871, 408606996, 
-0.0076037722863682156, 0.020467453169503717, -0.001841544337040149, 1729802871, 499052429, 
-0.0046329242587643815, 0.014398502402505236, -0.001430832779900698, 1729802871, 609910709, 
-0.00042119530132966876, 0.022960419277248224, -0.0008900211129338445, 1729802871, 709993032, 
0.00285135199582931, 0.025054791220046068, -0.0001461209021055191, 1729802871, 808916139, 
0.0048327369006369025, 0.017036537451851536, 0.0005055695026500805, 1729802871, 918822817, 
0.005109725751536676, 0.006970217510564779, 0.0008784702926192657, 1729802872, 14907155, 
0.003196483688095886, -0.005416067643645712, 0.0008588137206948758, 1729802872, 114914733, 
0.003359650599895847, -0.005765832945483543, 0.0007349529855606626, 1729802872, 203908133, 
0.003429272317666099, 0.0008424912747837304, 0.000630121168751068, 1729802872, 304227355, 
0.003300764098129849, -0.00015896572314801638, 0.000706516819819675, 1729802872, 413979115, 
0.0010105440312827563, -0.007951009355338646, 0.00054370353615016, 1729802872, 514949357, 
-0.0014327322581798585, -0.016223962593620387, 0.00018708770091158185, 1729802872, 608958552, 
-0.0031316928023930046, -0.01383510052175597, -0.0002410831454155638, 1729802872, 718459106, 
-0.0036784293879815744, -0.007163470033691929, -0.0005522894345376789, 1729802872, 809965171, 
-0.0012348436389704176, 0.006157988675967005, -0.0005134109261886203, 1729802872, 909912098, 
0.0003560786126260984, 0.013504797312128258, -0.0003022541164002416, 1729802873, 8938984, 
0.0009922998006278716, 0.007279610947215141, 7.918217577328712e-06, 1729802873, 119140089, 
0.0010543010243072581, 0.0021546015323073895, 0.00016016975687647877, 1729802873, 208927906, 
0.001349529505322855, 0.0011585833385425414, 0.0002216383674215106, 1729802873, 314926186, 
0.0038262556709124373, 0.008522420035924388, 0.00044589195024426236, 1729802873, 423640160, 
0.0041674109402601855, 0.008989419960849034, 0.000592386080981605, 1729802873, 505134999, 
0.004487621536356401, 0.002375782519567526, 0.0007920135651070715, 1729802873, 614008387, 
0.004596044433249347, 0.001338301823336716, 0.000926898474511803, 1729802873, 714981749, 
0.005014269431316554, 0.0019253624788263379, 0.0008924636303589923, 1729802873, 803922074, 
0.0045440557361816625, -8.723402341685525e-05, 0.0008665533804190406, 1729802873, 898646597, 
0.00526954981278871, 0.00047890140864950806, 0.0010284133811456402, 1729802874, 11992357, 
0.005566011809328475, 0.003142724392903166, 0.0010830849399438838, 1729802874, 109916796, 
0.004500624976670697, -0.0025769597268203884, 0.0010068380363339653, 1729802874, 208945758, 
0.0034405423196709473, -0.006938060514927171, 0.000920507524973831, 1729802874, 314365301, 
0.003766659599364286, -0.002271108507209719, 0.0008039171298562009, 1729802874, 414940552, 
0.003844688120429929, 0.0013409998667364743, 0.0007388201974688308, 1729802874, 514915667, 
0.0031108498345213675, -0.0024546831857077977, 0.0006793480972689272, 1729802874, 605017659, 
0.002271112731163538, -0.00527262549547929, 0.0006136877729154756, 1729802874, 714453222, 
0.0020541306022233696, -0.0032775727649454974, 0.0005203270435969547, 1729802874, 814937182, 
0.0026352831362521645, 0.0012173215424536319, 0.0004651655524395213, 1729802874, 914940450, 
0.0015807204359323812, -0.0019672256391294945, 0.0003971852023539016, 1729802875, 4973882, 
0.002726596879434773, -0.0004152173364785951, 0.00046169407984901, 1729802875, 114445268, 
0.003986465547378137, 0.007839712409786634, 0.0005695061550761973, 1729802875, 210973785, 
0.0026942049920293254, -3.256869422726035e-06, 0.0006129297843150745, 1729802875, 309910037, 
