e, e_dot, e_int, stamp, 
0.7694574106951676, 9.162366786190961e-07, 0.08422869480195198, 1729805778, 394836136, 
0.7694574106951676, 7.905553140866323e-11, 0.08076230907437826, 1729805778, 450726993, 
0.7694574106951676, 0.0, 0.07456346860879327, 1729805778, 491740094, 
0.7694574106951676, 0.0, 0.06937496111808476, 1729805778, 540887878, 
0.7694574106951676, 0.0, 0.0768832388135034, 1729805778, 591658865, 
0.7690602917562164, -0.002215570651428018, 0.08502400448638078, 1729805778, 651405540, 
0.7661202544306001, -0.02743872885784709, 0.07574603792704149, 1729805778, 690259217, 
0.760890921762217, -0.05448261930864221, 0.07533252975838077, 1729805778, 749833482, 
0.7551821752153034, -0.06729508848823228, 0.08337923650326128, 1729805778, 799863300, 
0.7477947361634499, -0.08639076893295901, 0.07618269629297512, 1729805778, 850788178, 
0.7415420903185916, -0.10040920348776823, 0.06805704374978792, 1729805778, 890827614, 
0.7215257918099249, -0.10780784047220433, 0.1176991331248128, 1729805779, 10498418, 
0.6424463995779522, -0.2449001709538934, 0.18179900730243384, 1729805779, 149860301, 
0.6105987069414773, -0.29439426963126947, 0.15811544438536723, 1729805779, 250725970, 
0.5871742643955333, -0.19279353329303173, 0.11658102736061281, 1729805779, 339915404, 
0.5581903876361176, -0.18442878663559434, 0.11057332469069467, 1729805779, 439636503, 
0.5262751067457219, -0.19615019395179792, 0.11528232631514812, 1729805779, 546806259, 
0.39128508382882987, -0.5321789317082498, 0.10384823762055527, 1729805779, 650745831, 
0.3567057782493417, -0.5622182289573848, 0.0820117934329529, 1729805779, 739886343, 
0.3236736879252301, -0.24004497926244203, 0.06736130212130005, 1729805779, 839315945, 
0.2892562238343843, -0.2145753871896917, 0.06784715392774489, 1729805779, 949801741, 
0.2604020021734409, -0.1991331012545837, 0.06154482220637181, 1729805780, 50729800, 
0.11088432311786889, -0.6551605005109984, 0.04182297148927187, 1729805780, 139750011, 
0.07329168992684465, -0.685440555954356, 0.02797982933332856, 1729805780, 239536905, 
0.04522748377530039, -0.21041610403184405, 0.016062108544030083, 1729805780, 349800539, 
0.01884580450311313, -0.1719657806728164, 0.009670339289013128, 1729805780, 450733516, 
-0.11344554411683627, -0.5814607666511118, -0.003129179919618171, 1729805780, 539938494, 
-0.15069143071377655, -0.6057464603382964, -0.016405164310999927, 1729805780, 651374627, 
-0.17709756707977986, -0.20463073813088486, -0.030277433667048156, 1729805780, 745797946, 
-0.19903870916333533, -0.16709302389354255, -0.03396735777148029, 1729805780, 844800432, 
-0.22246011084387085, -0.15336127245132755, -0.0393519673223782, 1729805780, 943019153, 
-0.322976989673882, -0.38872654462842365, -0.05126144122508299, 1729805781, 51367686, 
-0.342361847697514, -0.3748504854651247, -0.06120842844173232, 1729805781, 149851213, 
-0.35746647459211056, -0.11551795884633385, -0.06797192859074733, 1729805781, 250736797, 
-0.3680309166751825, -0.08896442685125276, -0.06800366620625571, 1729805781, 340897927, 
-0.38196322105623304, -0.0861874295655175, -0.06965915475517136, 1729805781, 439436478, 
-0.43027689292472004, -0.19284462876802064, -0.08224899848730487, 1729805781, 549957532, 
-0.43882091331618067, -0.17397397823955582, -0.08811758269373397, 1729805781, 650739318, 
-0.4407266073259367, -0.04374120005919588, -0.06191625010534881, 1729805781, 691769479, 
-0.4476288827877727, -0.029890943771892903, -0.08879098844052924, 1729805781, 851445844, 
-0.4525543692034314, -0.031099798246578405, -0.11533746492743792, 1729805781, 949812473, 
-0.450532256718293, -0.0032167178726795593, -0.06681132097333252, 1729805781, 999836798, 
-0.4494835552398565, 0.015969934873831, -0.08570328806801598, 1729805782, 139902324, 
-0.4494319954881696, 0.0026778897330133216, -0.10544574686674234, 1729805782, 234256565, 
-0.4221650114550987, 0.08159981530098259, -0.09070910143407215, 1729805782, 345890749, 
-0.4130122562230544, 0.11051291943741905, -0.09270333247362826, 1729805782, 450750409, 
-0.40473667233687727, 0.0600849327095162, -0.08012905358684529, 1729805782, 539764818, 
-0.40009879696313266, 0.04646388981189873, -0.07669188570823991, 1729805782, 639670298, 
-0.3512261597570743, 0.16338801209668055, -0.08094093588809848, 1729805782, 749807952, 
-0.3358370310809159, 0.1987377573605437, -0.0764885833470347, 1729805782, 850738890, 
-0.3236718374997822, 0.09635587474276495, -0.06401010506059329, 1729805782, 939798711, 
-0.31916598093076476, 0.07498100538128799, -0.045691548308442735, 1729805782, 990800367, 
-0.26013655928818735, 0.15321011231622492, -0.06320498583169755, 1729805783, 149788011, 
-0.2443180179279471, 0.17597924905199366, -0.0713707815382403, 1729805783, 250765156, 
-0.2313473637127524, 0.10025870195577595, -0.04683998335131807, 1729805783, 340763248, 
-0.22076804871279232, 0.0855288110655693, -0.042729839102639396, 1729805783, 434830871, 
-0.161178228280852, 0.20988735466050357, -0.042784280227515015, 1729805783, 550047728, 
-0.15291386970659393, 0.22775998918877471, -0.02941326078178303, 1729805783, 599808170, 
-0.131024288920205, 0.1071140952828983, -0.02830162884311777, 1729805783, 740795337, 
-0.11873489565063054, 0.0888112963835595, -0.03376126830056731, 1729805783, 851336808, 
-0.07274121712388225, 0.19119345533928203, -0.02257583522963556, 1729805783, 950802845, 
-0.05784446627726299, 0.20381919820221217, -0.016572299829347485, 1729805784, 50746338, 
-0.044819099076799235, 0.09789629956181123, -0.011108908633008702, 1729805784, 140801803, 
-0.03911875964226841, 0.08622537411865079, -0.006618463252743488, 1729805784, 190787699, 
-9.176354190362779e-05, 0.11927372400150328, -0.00588418805167269, 1729805784, 350877294, 
0.010509225891766658, 0.11663876142659946, -0.002487183598125231, 1729805784, 450760296, 
0.01989846738062659, 0.07013468130843652, 0.0019193057049409106, 1729805784, 540807709, 
0.034959739534754605, 0.08499822576981418, 0.004139351675343124, 1729805784, 640733414, 
0.04345535546405141, 0.0769255896316363, 0.006752563278451831, 1729805784, 746859543, 
0.052158517784502895, 0.056022368775115745, 0.008922913266314813, 1729805784, 845742215, 
0.06176084498877782, 0.061974650469389596, 0.010332004869979284, 1729805784, 943816303, 
0.056574406070719646, 0.013834759807146775, 0.010799340891039587, 1729805785, 35766888, 
0.06150074938044066, -0.004014235221416143, 0.012168872064370407, 1729805785, 146815792, 
0.06522032368630204, 0.026716418983958667, 0.013135223479344886, 1729805785, 250751298, 
0.051228722654650005, -0.03985862833672859, 0.011506996958702501, 1729805785, 340808658, 
0.05236211592339976, -0.04799438447277571, 0.010671791909145661, 1729805785, 440403305, 
0.052856453412930285, 0.005284674681124035, 0.010955834686456594, 1729805785, 550895414, 
0.03378529731748951, -0.06217101349219176, 0.009746389971156146, 1729805785, 650751194, 
0.030572750096116402, -0.07555496378031858, 0.007419633595238429, 1729805785, 740794280, 
0.02794806844856329, -0.02065769311808846, 0.005841719340171867, 1729805785, 840610315, 
0.02572300642128826, -0.015492724002980804, 0.005898766692835846, 1729805785, 950854781, 
0.0005389033361800771, -0.09055312807580758, 0.0038017360318629134, 1729805786, 50999776, 
-0.004419855210564372, -0.10223627359221854, 0.0013827829851182029, 1729805786, 140779632, 
-0.007006279335818558, -0.02703002551514903, -0.0006888181128143841, 1729805786, 240805090, 
-0.027240233688061624, -0.06992552883463045, -0.0027071751834361955, 1729805786, 350820707, 
-0.035512303470377024, -0.08889869496825194, -0.004881894305797799, 1729805786, 450752501, 
-0.040679670333117326, -0.04671853109531569, -0.0065503423586174385, 1729805786, 540810146, 
-0.0464419778004298, -0.03839567605615393, -0.00775605494722429, 1729805786, 640489230, 
-0.062291040446072254, -0.06714170580013919, -0.010460676222217587, 1729805786, 750846047, 
-0.06554288411593492, -0.058721331582728596, -0.012214859563424765, 1729805786, 850756847, 
-0.0703931337112563, -0.02880848366432898, -0.012549996367685915, 1729805786, 940779699, 
-0.07672168241250994, -0.03901507245770477, -0.01348321102380826, 1729805787, 40966903, 
-0.07836939345290649, -0.026055686090664016, -0.015786593265387304, 1729805787, 150815603, 
