Euclidian 1,Euclidian 1,Euclidian 2,Euclidian 2,Manhatten 1,Manhatten 1,Manhatten 2,Manhatten 2
-0.045974158,0.033560859,-0.106047083,0.039098187,-0.08086207,0.019431194,0.036929774,0.009809127
-0.045974142,0.033560851,-0.106047112,0.03909819,-0.080862069,0.019431193,0.03692979,0.009809126
-0.045974128,0.033560854,-0.1060471,0.039098182,-0.080862062,0.019431193,0.036929793,0.009809126
-0.04597414,0.033560845,-0.106047044,0.039098184,-0.080862038,0.019431194,0.03692977,0.009809127
-0.04597416,0.033560844,-0.106047078,0.039098179,-0.080862066,0.019431193,0.036929819,0.009809125
-0.045974129,0.033560839,-0.106047081,0.039098181,-0.080862042,0.019431193,0.036929812,0.009809124
-0.04597416,0.033560844,-0.106047024,0.039098183,-0.080862002,0.019431195,0.036929805,0.009809124
-0.045974156,0.033560841,-0.10604704,0.039098176,-0.080862054,0.019431192,0.036929839,0.009809123
-0.045974098,0.033560833,-0.106047076,0.039098169,-0.080862045,0.019431193,0.036929808,0.009809124
-0.045974125,0.033560834,-0.106047031,0.039098172,-0.080861983,0.019431195,0.036929823,0.009809123
-0.045974148,0.033560831,-0.106046994,0.039098174,-0.080861994,0.019431194,0.036929851,0.009809122
-0.04597409,0.033560829,-0.106047041,0.039098167,-0.080862032,0.019431192,0.036929827,0.009809123
-0.045974089,0.033560828,-0.106047028,0.039098166,-0.080861999,0.019431194,0.036929872,0.009809121
-0.045974131,0.033560829,-0.106046983,0.039098167,-0.080861966,0.019431194,0.036929874,0.00980912
-0.045974123,0.03356082,-0.106047011,0.039098163,-0.080862002,0.019431193,0.036929842,0.009809121
-0.045974059,0.033560812,-0.106047,0.039098161,-0.080861943,0.019431195,0.036929887,0.009809119
-0.045974079,0.033560813,-0.10604698,0.03909816,-0.08086196,0.019431194,0.036929875,0.009809119
-0.045974106,0.033560816,-0.10604701,0.039098155,-0.080861981,0.019431193,0.036929865,0.00980912
-0.045974064,0.033560802,-0.106046968,0.03909816,-0.080861937,0.019431194,0.036929904,0.009809118
-0.045974075,0.033560801,-0.106046965,0.039098155,-0.080861925,0.019431195,0.036929883,0.009809119
-0.045974068,0.033560804,-0.106046983,0.039098149,-0.080861947,0.019431193,0.036929895,0.009809118
-0.045974042,0.033560794,-0.106046948,0.039098148,-0.080861921,0.019431194,0.036929919,0.009809116
-0.045974077,0.03356079,-0.106046975,0.039098148,-0.080861941,0.019431193,0.03692989,0.009809117
-0.045974047,0.03356079,-0.106046967,0.039098147,-0.080861945,0.019431193,0.036929932,0.009809116
-0.045974025,0.03356079,-0.106046911,0.03909815,-0.080861902,0.019431194,0.036929917,0.009809116
-0.045974052,0.03356079,-0.106046951,0.039098144,-0.080861917,0.019431194,0.036929904,0.009809116
-0.045974018,0.033560775,-0.106046969,0.03909814,-0.080861901,0.019431194,0.036929954,0.009809114
-0.045974045,0.033560779,-0.106046908,0.039098145,-0.080861893,0.019431194,0.036929934,0.009809115
-0.04597404,0.033560782,-0.106046903,0.039098143,-0.080861916,0.019431193,0.036929943,0.009809114
-0.045973985,0.033560774,-0.10604694,0.03909814,-0.080861877,0.019431194,0.036929964,0.009809113
-0.045974015,0.03356077,-0.106046912,0.039098132,-0.080861884,0.019431193,0.03692994,0.009809114
-0.045974046,0.033560769,-0.106046878,0.039098133,-0.080861888,0.019431193,0.036929948,0.009809113
-0.045974018,0.033560772,-0.106046901,0.039098133,-0.080861849,0.019431194,0.03692999,0.009809111
-0.04597397,0.033560758,-0.106046924,0.039098132,-0.080861865,0.019431194,0.036929959,0.009809112
-0.045973966,0.033560742,-0.106046869,0.039098127,-0.08086186,0.019431193,0.036929997,0.009809111
-0.045973992,0.033560743,-0.106046857,0.039098126,-0.080861834,0.019431194,0.036929978,0.009809111
-0.042666464,0.033111301,-0.1060469,0.039098122,-0.080861857,0.019431193,0.036929961,0.009809111
-0.033322774,0.032014829,-0.106046865,0.039098126,-0.080861821,0.019431195,0.036930017,0.009809109
-0.023240878,0.031344057,-0.106046849,0.039098118,-0.080861831,0.019431193,0.036930007,0.009809109
-0.013137856,0.031187297,-0.106046864,0.039098115,-0.080861839,0.019431193,0.036929969,0.009809111
-0.003037465,0.031543304,-0.106046832,0.039098122,-0.080861802,0.019431194,0.036929998,0.009809109
0.007034561,0.032411418,-0.106046858,0.039098113,-0.080861817,0.019431193,0.036930061,0.009809106
0.017046317,0.033789064,-0.106046809,0.039098114,-0.080861825,0.019431193,0.036930019,0.009809108
0.026968961,0.035672784,-0.106046806,0.039098114,-0.08086179,0.019431194,0.03693003,0.009809107
0.036780103,0.038058995,-0.106046849,0.039098109,-0.080861812,0.019431193,0.036930064,0.009809105
0.043249322,0.039926764,-0.106046826,0.039098103,-0.080861803,0.019431193,0.03693004,0.009809106
0.052827861,0.043138576,-0.106046768,0.039098109,-0.080861761,0.019431195,0.03693005,0.009809106
0.062234075,0.046835115,-0.106046816,0.039098103,-0.08086179,0.019431193,0.036930065,0.009809105
0.071442101,0.051006192,-0.106046814,0.039098101,-0.080861758,0.019431195,0.036930036,0.009809106
0.080423185,0.055638533,-0.10604677,0.0390981,-0.080861773,0.019431193,0.036930065,0.009809104
0.089152614,0.060719817,-0.106046786,0.039098102,-0.080861784,0.019431193,0.036930101,0.009809103
0.097610508,0.066239443,-0.106046766,0.039098095,-0.080861735,0.019431195,0.036930047,0.009809105
0.105778662,0.072185022,-0.106046768,0.039098096,-0.080861752,0.019431194,0.036930056,0.009809104
0.113636129,0.078541054,-0.106046791,0.039098095,-0.080861746,0.019431193,0.036930098,0.009809102
0.121159875,0.085289042,-0.106046772,0.03909809,-0.080861724,0.019431195,0.036930113,0.009809101
0.128328182,0.092409636,-0.106046726,0.039098094,-0.080861752,0.019431193,0.036930089,0.009809102
0.135122651,0.099884479,-0.106046771,0.039098086,-0.080861746,0.019431193,0.036930127,0.0098091
